category_id,title,product_code,qty,price,description,image,image1,image2,image3
14,BA0002,BA0002,1,26648.16,BANGLE 241RD=4.19 339BQ=3.81 18KW_50.00G,/BA/BA0002/BA0002-1[PNG1].png,/BA/BA0002/BA0002-1[PNG1].png,/BA/BA0002/BA0002-2[PNG].png,/BA/BA0002/BA0002-3[PNG].png
14,BA0012,BA0012,1,25608,BANGLE 2.01RD 6.70PR 18KW,/BA/BA0012/BA0012-1[PNG1].png,/BA/BA0012/BA0012-1[PNG1].png,/BA/BA0012/BA0012-2[PNG].png,/BA/BA0012/BA0012-3[PNG].png
14,BA0015,BA0015,1,21384,BANGLE 302RD=3.80 18KW_36.50G,/BA/BA0015/BA0015-1[PNG1].png,/BA/BA0015/BA0015-1[PNG1].png,/BA/BA0015/BA0015-2[PNG].png,/BA/BA0015/BA0015-3[PNG].png
14,BA0055,BA0055,1,61776,BANGLE 1845RD=14.75 18KW_101.00G,/BA/BA0055/BA0055-1[PNG1].png,/BA/BA0055/BA0055-1[PNG1].png,/BA/BA0055/BA0055-2[PNG].png,/BA/BA0055/BA0055-3[PNG].png
19,BA0066,BA0066,1,19245.6,465RD=3.55 225RUB=11.00 18KW_51.50,/BA/BA0066/BA0066-1[PNG1].png,/BA/BA0066/BA0066-1[PNG1].png,/BA/BA0066/BA0066-2[PNG].png,/BA/BA0066/BA0066-3[PNG].png
18,BA0072,BA0072,1,20697.6,BANGLE 412RD=6.55 146CHAM=3.76 18KT_45.00g,/BA/BA0072/BA0072-1[PNG1].png,/BA/BA0072/BA0072-1[PNG1].png,/BA/BA0072/BA0072-2[PNG].png,/BA/BA0072/BA0072-3[PNG].png
14,BA0087,BA0087,1,19768.32,BANGLE 906RD=5.85 18KW_54.00G,/BA/BA0087/BA0087-1[PNG1].png,/BA/BA0087/BA0087-1[PNG1].png,/BA/BA0087/BA0087-2[PNG].png,/BA/BA0087/BA0087-3[PNG].png
19,BA0093,BA0093,1,16896,BANGLE 121RD=1.20 150RUB=7.40 18KW_32.50G,/BA/BA0093/BA0093-1[PNG1].png,/BA/BA0093/BA0093-1[PNG1].png,/BA/BA0093/BA0093-2[PNG].png,/BA/BA0093/BA0093-3[PNG].png
21,BA0095,BA0095,1,12144,BANGLE 121RD=1.20 150SAP=7.40 18KW_32.50G,/BA/BA0095/BA0095-1[PNG1].png,/BA/BA0095/BA0095-1[PNG1].png,/BA/BA0095/BA0095-2[PNG].png,/BA/BA0095/BA0095-3[PNG].png
14,BA0097,BA0097,1,15840,BANGLE 60PR=4.70 18KW,/BA/BA0097/BA0097-1[PNG1].png,/BA/BA0097/BA0097-1[PNG1].png,/BA/BA0097/BA0097-2[PNG].png,/BA/BA0097/BA0097-3[PNG].png
15,BA0113,BA0113,1,26648.16,BANGLE 241RD=4.19 339BQ=3.81 18KY_50.00G,/BA/BA0113/BA0113-1[PNG1].png,/BA/BA0113/BA0113-1[PNG1].png,/BA/BA0113/BA0113-2[PNG].png,/BA/BA0113/BA0113-3[PNG].png
14,BA0248,BA0248,1,44880,BANGLE 826CT=13.00 18KW_67.20G,/BA/BA0248/BA0248-1[PNG1].png,/BA/BA0248/BA0248-1[PNG1].png,/BA/BA0248/BA0248-2[PNG].png,/BA/BA0248/BA0248-3[PNG].png
14,BA0264,BA0264,1,29040,BANGLE 906RD=5.85 18KY_54.00G,/BA/BA0264/BA0264-1[PNG1].png,/BA/BA0264/BA0264-1[PNG1].png,/BA/BA0264/BA0264-2[PNG].png,/BA/BA0264/BA0264-3[PNG].png
